date,sentiment
2018-01-01,neutral
2018-01-01,neutral
2018-01-02,neutral
2018-01-02,neutral
2018-01-02,negative
2018-01-02,neutral
2018-01-02,neutral
2018-01-02,neutral
2018-01-02,neutral
2018-01-02,neutral
2018-01-02,neutral
2018-01-02,neutral
2018-01-03,neutral
2018-01-03,neutral
2018-01-03,neutral
2018-01-03,negative
2018-01-03,negative
2018-01-03,negative
2018-01-03,neutral
2018-01-04,negative
2018-01-04,positive
2018-01-04,neutral
2018-01-04,neutral
2018-01-04,negative
2018-01-04,neutral
2018-01-05,negative
2018-01-05,negative
2018-01-05,neutral
2018-01-05,neutral
2018-01-05,negative
2018-01-06,neutral
2018-01-08,neutral
2018-01-08,positive
2018-01-08,positive
2018-01-08,neutral
2018-01-08,neutral
2018-01-08,neutral
2018-01-08,negative
2018-01-09,neutral
2018-01-09,neutral
2018-01-09,positive
2018-01-09,negative
2018-01-10,negative
2018-01-10,neutral
2018-01-10,neutral
2018-01-12,negative
2018-01-13,neutral
2018-01-14,negative
2018-01-15,positive
2018-01-16,negative
2018-01-16,negative
2018-01-16,negative
2018-01-17,neutral
2018-01-17,neutral
2018-01-17,neutral
2018-01-17,neutral
2018-01-17,neutral
2018-01-17,negative
2018-01-17,negative
2018-01-18,negative
2018-01-18,positive
2018-01-18,negative
2018-01-18,negative
2018-01-18,neutral
2018-01-18,neutral
2018-01-18,neutral
2018-01-18,negative
2018-01-18,neutral
2018-01-18,neutral
2018-01-18,neutral
2018-01-18,neutral
2018-01-18,neutral
2018-01-19,negative
2018-01-19,neutral
2018-01-19,negative
2018-01-20,negative
2018-01-20,neutral
2018-01-21,negative
2018-01-22,neutral
2018-01-22,neutral
2018-01-22,neutral
2018-01-23,positive
2018-01-23,neutral
2018-01-23,neutral
2018-01-23,neutral
2018-01-23,neutral
2018-01-24,negative
2018-01-24,neutral
2018-01-24,neutral
2018-01-24,negative
2018-01-24,negative
2018-01-24,positive
2018-01-24,positive
2018-01-24,negative
2018-01-24,neutral
2018-01-24,neutral
2018-01-25,negative
2018-01-25,neutral
2018-01-25,positive
2018-01-26,neutral
2018-01-26,positive
2018-01-26,negative
2018-01-26,negative
2018-01-27,positive
2018-01-27,positive
2018-01-27,positive
2018-01-27,neutral
2018-01-28,neutral
2018-01-29,negative
2018-01-29,neutral
2018-01-29,negative
2018-01-29,neutral
2018-01-29,positive
2018-01-29,negative
2018-01-30,negative
2018-01-30,negative
2018-01-30,negative
2018-01-30,negative
2018-01-30,negative
2018-01-30,negative
2018-01-30,negative
2018-01-30,neutral
2018-01-30,negative
2018-01-30,neutral
2018-01-31,neutral
2018-01-31,negative
2018-01-31,negative
2018-01-31,negative
2018-01-31,negative
2018-02-01,neutral
2018-02-01,positive
2018-02-01,neutral
2018-02-01,positive
2018-02-01,neutral
2018-02-01,negative
2018-02-02,positive
2018-02-02,neutral
2018-02-02,neutral
2018-02-02,neutral
2018-02-02,negative
2018-02-02,negative
2018-02-02,neutral
2018-02-02,neutral
2018-02-02,negative
2018-02-02,positive
2018-02-03,negative
2018-02-03,neutral
2018-02-03,neutral
2018-02-05,negative
2018-02-05,neutral
2018-02-05,neutral
2018-02-05,negative
2018-02-05,negative
2018-02-05,negative
2018-02-05,negative
2018-02-05,neutral
2018-02-05,neutral
2018-02-05,neutral
2018-02-06,neutral
2018-02-06,neutral
2018-02-06,neutral
2018-02-06,positive
2018-02-06,negative
2018-02-06,neutral
2018-02-07,neutral
2018-02-07,neutral
2018-02-07,neutral
2018-02-07,neutral
2018-02-07,positive
2018-02-08,positive
2018-02-08,neutral
2018-02-09,neutral
2018-02-09,positive
2018-02-09,negative
2018-02-10,neutral
2018-02-10,neutral
